"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SlideSwitchSpringReturn";1;"SW_SPDT";;;
2;"C1,C2,C3,C7";"C_0603";4;"10uF";;;
3;"C4";"C_0603";1;"100uF";;;
4;"C5,C8,C11";"C_0603";3;"0.1uF";;;
5;"C6";"C_0603";1;"1uF";;;
6;"C9,C10";"C_0603";2;"1nF";;;
7;"D1";"LED_0603";1;"RED LED";;;
8;"D2";"LED_0603";1;"LED";;;
9;"D3";"LED_0603";1;"RXLED";;;
10;"D4";"LED_0603";1;"TXLED";;;
11;"D5";"D_SMA_Standard";1;"SSA33L Schottky";;;
12;"J1";"hrs-fx8c-40p-sv";1;"CONN_02X20";;;
13;"P1";"USB_Micro-B";1;"USB_OTG";;;
14;"Q1,Q2,Q3";"SOT-23";3;"Q_NPN_BEC";;;
15;"R1";"R_0603";1;"2K";;;
16;"R2";"R_0603";1;"390";;;
17;"R3,R4,R11";"R_0603";3;"12K";;;
18;"R5,R6";"R_0603";2;"1k";;;
19;"R7,R10";"R_0603";2;"470";;;
20;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM358";;;
21;"U2";"SOT-223-3Lead_TabPin2";1;"NCP1117ST33T3G";;;
22;"U3";"QFN-28-1EP_5x5mm_Pitch0.5mm";1;"CP2102";;;
23;"U4";"ESP32-WROOM";1;"ESP-WROOM-32";;;
24;"C12";"C_0603";1;"10nF";;;
25;"C13";"C_0603";1;"2.2nF";;;
26;"C14";"C_0603";1;"0.22uF";;;
27;"C15";"C_0603";1;"4.7uF";;;
28;"R8,R9";"R_0603";2;"2k2";;;
29;"U5";"QFN-24-1EP_4x4mm_Pitch0.5mm";1;"MPU-6050";;;
30;"U6";"QFN-16-1EP_3x3mm_Pitch0.5mm";1;"HMC5883";;;
31;"R12";"R_0603";1;"10k";;;
